39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,14,14,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,7,7,14,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,7,7,14,39,39,39,39,39,39,39,39,39,39
0,39,39,39,39,39,39,39,7,7,14,39,39,39,39,39,39,39,0,0
10,39,39,39,39,39,39,39,39,7,7,39,39,39,10,39,39,39,10,10
10,39,39,8,39,8,39,39,39,39,39,39,39,10,10,39,39,39,10,10
10,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,10,10
10,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,10,10
10,39,39,39,39,39,39,39,39,7,7,7,7,7,39,39,39,39,10,10
10,0,0,0,0,0,0,0,0,10,10,10,10,10,39,39,0,0,10,10
12,12,12,12,12,12,12,12,10,10,12,12,12,12,39,39,10,10,10,10
12,12,12,12,12,12,12,12,12,12,12,12,12,12,39,39,12,12,12,12
